model,temperature,load,metric,mean_across_runs,min_across_runs,max_across_runs,median_across_runs,std_across_runs,n_runs
openai-gpt-5,1.0,const,wokloads_with_pending_pods,0.00161592932902944,0.0,0.10651797175866493,0.0,0.002194513904164731,5
openai-gpt-5,0.0,varia,cost,0.17368213333333327,0.17024,0.17740799999999998,0.17337599999999997,0.006750492301388952,5
openai-gpt-5,0.0,varia,cpu_usage,1.0999066666666668,0.1386,1.8214,1.2495,0.033724969318823184,5
openai-gpt-5,0.0,varia,mem_usage,1.0891533333333336,0.137,1.8038,1.2379,0.03341083573400168,5
openai-gpt-5,0.0,varia,number_of_migrations,37.5,0.0,123.6,13.2,11.472793905583766,5
openai-gpt-5,0.0,varia,pending_pods,10.496666666666666,0.0,70.2,0.0,1.307850229277887,5
openai-gpt-5,0.0,varia,time_with_pending,0.24,0.0,1.0,0.0,0.06624868971450598,5
openai-gpt-5,0.0,varia,wokloads_with_pending_pods,0.02343122299102486,0.0,0.18799196787148595,0.0,0.006398864170210782,5
openai-gpt-5,1.0,varia,cost,0.17794559999999995,0.17024,0.18636799999999998,0.17807999999999996,0.00905183602738512,5
openai-gpt-5,1.0,varia,cpu_usage,1.0835366666666668,0.15000000000000002,1.825,1.2429999999999999,0.05472192126256788,5
openai-gpt-5,1.0,varia,mem_usage,1.0729533333333334,0.1484,1.8072,1.2313,0.05424698583536439,5
openai-gpt-5,1.0,varia,number_of_migrations,38.1,0.0,134.4,9.0,28.511839646013726,5
openai-gpt-5,1.0,varia,pending_pods,10.726666666666667,0.0,71.6,0.0,1.3539345954989446,5
openai-gpt-5,1.0,varia,time_with_pending,0.23666666666666664,0.0,1.0,0.0,0.02738612787525833,5
openai-gpt-5,1.0,varia,wokloads_with_pending_pods,0.02610766018933398,0.0,0.31406402293358815,0.0,0.009976842610485238,5
