model,temperature,load,run_dir,metric,mean,min,max,std,median
anthropic-claude-sonnet-4.5,1.0,const,anthropic-claude-sonnet-4.5_input_const_v2_1_20260803_161626,cpu_usage,0.8833225806451614,0.789,1.23,0.0539674383289449,0.871
anthropic-claude-sonnet-4.5,1.0,const,anthropic-claude-sonnet-4.5_input_const_v2_1_20260803_161626,mem_usage,0.8746129032258065,0.782,1.218,0.0534481071568134,0.862
anthropic-claude-sonnet-4.5,1.0,const,anthropic-claude-sonnet-4.5_input_const_v2_1_20260803_161626,number_of_migrations,96.0,80.0,160.0,35.77708763999664,80.0
anthropic-claude-sonnet-4.5,1.0,const,anthropic-claude-sonnet-4.5_input_const_v2_1_20260803_161626,pending_pods,0.3225806451612903,0.0,6.0,1.156226104559637,0.0
anthropic-claude-sonnet-4.5,1.0,const,anthropic-claude-sonnet-4.5_input_const_v2_1_20260803_161626,time_with_pending,0.0806451612903225,0.0,1.0,0.2745122110081746,0.0
anthropic-claude-sonnet-4.5,1.0,const,anthropic-claude-sonnet-4.5_input_const_v2_1_20260803_161626,wokloads_with_pending_pods,0.0023353021962588,0.0,0.05,0.0087336158208938,0.0
anthropic-claude-sonnet-4.5,1.0,const,anthropic-claude-sonnet-4.5_input_const_v2_1_20260803_165736,cost,0.10752,0.10752,0.10752,4.1984706052567766e-17,0.10752
anthropic-claude-sonnet-4.5,1.0,const,anthropic-claude-sonnet-4.5_input_const_v2_1_20260803_165736,cpu_usage,0.8865500000000002,0.871,1.3,0.0646443792043196,0.871
anthropic-claude-sonnet-4.5,1.0,const,anthropic-claude-sonnet-4.5_input_const_v2_1_20260803_165736,mem_usage,0.8774166666666667,0.862,1.288,0.0641273340452526,0.862
anthropic-claude-sonnet-4.5,1.0,const,anthropic-claude-sonnet-4.5_input_const_v2_1_20260803_165736,number_of_migrations,120.0,0.0,160.0,80.0,160.0
anthropic-claude-sonnet-4.5,1.0,const,anthropic-claude-sonnet-4.5_input_const_v2_1_20260803_165736,pending_pods,0.2666666666666666,0.0,6.0,1.1769922406130275,0.0
anthropic-claude-sonnet-4.5,1.0,const,anthropic-claude-sonnet-4.5_input_const_v2_1_20260803_165736,time_with_pending,0.05,0.0,1.0,0.2197841776510826,0.0
anthropic-claude-sonnet-4.5,1.0,const,anthropic-claude-sonnet-4.5_input_const_v2_1_20260803_165736,wokloads_with_pending_pods,0.0022802542069459,0.0,0.0535714285714285,0.0103047767798517,0.0
anthropic-claude-sonnet-4.5,0.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_0_20260802_015855,cost,0.1809546666666666,0.17024,0.20832,0.0123593987384152,0.17024
anthropic-claude-sonnet-4.5,0.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_0_20260802_015855,cpu_usage,0.9792666666666666,0.206,1.768,0.4243086846707308,1.018
anthropic-claude-sonnet-4.5,0.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_0_20260802_015855,mem_usage,0.9694666666666668,0.204,1.751,0.4199929969822404,1.008
