model,temperature,load,run_dir,metric,mean,min,max,std,median
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_072623,time_with_pending,0.4666666666666667,0.0,1.0,0.5030977485864635,0.0
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_072623,wokloads_with_pending_pods,0.092936095064642,0.0,0.4352941176470588,0.1523472249912262,0.0
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_080813,cost,0.17584,0.17024,0.21504,0.0091059302710758,0.17024
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_080813,cpu_usage,0.9992166666666664,0.206,1.79,0.4208651336645307,1.0955
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_080813,mem_usage,0.9893499999999998,0.204,1.774,0.4167199126430367,1.084
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_080813,number_of_migrations,208.8,0.0,420.0,149.72374561170983,210.0
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_080813,pending_pods,44.9,0.0,244.0,82.6181126773838,3.0
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_080813,time_with_pending,0.5,0.0,1.0,0.5042194840896107,0.5
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_080813,wokloads_with_pending_pods,0.0927272335476053,0.0,0.4235294117647059,0.1491176265638642,0.0078125
google-gemini-2.5-pro,0.0,varia,google-gemini-2.5-pro_input_varia_v2_0_20260811_122535,cost,0.1812906666666666,0.17024,0.19488,0.0115245891675246,0.17696
google-gemini-2.5-pro,0.0,varia,google-gemini-2.5-pro_input_varia_v2_0_20260811_122535,cpu_usage,1.02905,0.124,1.719,0.4985013957106076,1.15
google-gemini-2.5-pro,0.0,varia,google-gemini-2.5-pro_input_varia_v2_0_20260811_122535,mem_usage,1.0190666666666666,0.123,1.703,0.4938542592491545,1.1385
google-gemini-2.5-pro,0.0,varia,google-gemini-2.5-pro_input_varia_v2_0_20260811_122535,number_of_migrations,115.5,36.0,228.0,93.1289428695505,99.0
google-gemini-2.5-pro,0.0,varia,google-gemini-2.5-pro_input_varia_v2_0_20260811_122535,pending_pods,24.666666666666668,0.0,154.0,45.49675595314337,0.0
google-gemini-2.5-pro,0.0,varia,google-gemini-2.5-pro_input_varia_v2_0_20260811_122535,time_with_pending,0.3166666666666666,0.0,1.0,0.4691017983072985,0.0
google-gemini-2.5-pro,0.0,varia,google-gemini-2.5-pro_input_varia_v2_0_20260811_122535,wokloads_with_pending_pods,0.0602477824463118,0.0,0.5,0.1134988725742055,0.0
google-gemini-2.5-pro,0.0,varia,google-gemini-2.5-pro_input_varia_v2_0_20260811_130637,cost,0.1702399999999999,0.17024,0.17024,1.3994902017522592e-16,0.17024
google-gemini-2.5-pro,0.0,varia,google-gemini-2.5-pro_input_varia_v2_0_20260811_130637,cpu_usage,1.073116666666667,0.0,1.802,0.5146675112877646,1.0615
google-gemini-2.5-pro,0.0,varia,google-gemini-2.5-pro_input_varia_v2_0_20260811_130637,mem_usage,1.0624333333333331,0.0,1.784,0.5094431445354076,1.0515
google-gemini-2.5-pro,0.0,varia,google-gemini-2.5-pro_input_varia_v2_0_20260811_130637,number_of_migrations,57.0,0.0,156.0,70.90839160494335,36.0
google-gemini-2.5-pro,0.0,varia,google-gemini-2.5-pro_input_varia_v2_0_20260811_130637,pending_pods,26.183333333333334,0.0,126.0,34.41693102592005,10.0
google-gemini-2.5-pro,0.0,varia,google-gemini-2.5-pro_input_varia_v2_0_20260811_130637,time_with_pending,0.5833333333333334,0.0,1.0,0.497167116011244,1.0
google-gemini-2.5-pro,0.0,varia,google-gemini-2.5-pro_input_varia_v2_0_20260811_130637,wokloads_with_pending_pods,0.0828396962970018,0.0,0.75,0.1234380227422838,0.0285714285714285
google-gemini-2.5-pro,0.0,varia,google-gemini-2.5-pro_input_varia_v2_0_20260811_134731,cost,0.1734506666666666,0.17024,0.21728,0.010029180115309,0.17024
google-gemini-2.5-pro,0.0,varia,google-gemini-2.5-pro_input_varia_v2_0_20260811_134731,cpu_usage,1.0561,0.0,1.819,0.5192727215269776,0.997
google-gemini-2.5-pro,0.0,varia,google-gemini-2.5-pro_input_varia_v2_0_20260811_134731,mem_usage,1.0458666666666665,0.0,1.802,0.5142522782153889,0.9875
google-gemini-2.5-pro,0.0,varia,google-gemini-2.5-pro_input_varia_v2_0_20260811_134731,number_of_migrations,91.5,0.0,276.0,130.11149065320865,45.0
google-gemini-2.5-pro,0.0,varia,google-gemini-2.5-pro_input_varia_v2_0_20260811_134731,pending_pods,15.066666666666666,0.0,64.0,21.82974697762996,0.5
google-gemini-2.5-pro,0.0,varia,google-gemini-2.5-pro_input_varia_v2_0_20260811_134731,time_with_pending,0.5,0.0,1.0,0.5042194840896107,0.5
google-gemini-2.5-pro,0.0,varia,google-gemini-2.5-pro_input_varia_v2_0_20260811_134731,wokloads_with_pending_pods,0.0402249675960346,0.0,0.14,0.0526560637080182,0.0063291139240506
google-gemini-2.5-pro,0.0,varia,google-gemini-2.5-pro_input_varia_v2_0_20260811_142834,cost,0.1710613333333333,0.17024,0.17248,0.001088552867174,0.17024
google-gemini-2.5-pro,0.0,varia,google-gemini-2.5-pro_input_varia_v2_0_20260811_142834,cpu_usage,1.0094500000000002,0.0,1.5510000000000002,0.4203866833753443,1.121
google-gemini-2.5-pro,0.0,varia,google-gemini-2.5-pro_input_varia_v2_0_20260811_142834,mem_usage,0.9994166666666668,0.0,1.536,0.416254537987852,1.11
google-gemini-2.5-pro,0.0,varia,google-gemini-2.5-pro_input_varia_v2_0_20260811_142834,number_of_migrations,102.0,48.0,150.0,55.641710972974224,105.0
google-gemini-2.5-pro,0.0,varia,google-gemini-2.5-pro_input_varia_v2_0_20260811_142834,pending_pods,40.38333333333333,0.0,214.0,75.35185075649696,0.0
google-gemini-2.5-pro,0.0,varia,google-gemini-2.5-pro_input_varia_v2_0_20260811_142834,time_with_pending,0.4166666666666667,0.0,1.0,0.4971671160112441,0.0
google-gemini-2.5-pro,0.0,varia,google-gemini-2.5-pro_input_varia_v2_0_20260811_142834,wokloads_with_pending_pods,0.0788714055168233,0.0,0.4,0.1365577464363523,0.0
google-gemini-2.5-pro,0.0,varia,google-gemini-2.5-pro_input_varia_v2_0_20260811_151106,cost,0.1739359999999999,0.17024,0.21728,0.0095910331003601,0.17248
google-gemini-2.5-pro,0.0,varia,google-gemini-2.5-pro_input_varia_v2_0_20260811_151106,cpu_usage,1.0803,0.0,1.819,0.5165801265231212,1.113
google-gemini-2.5-pro,0.0,varia,google-gemini-2.5-pro_input_varia_v2_0_20260811_151106,mem_usage,1.0701,0.0,1.802,0.5115921541652,1.1025
google-gemini-2.5-pro,0.0,varia,google-gemini-2.5-pro_input_varia_v2_0_20260811_151106,number_of_migrations,73.5,0.0,222.0,104.65658125507444,36.0
google-gemini-2.5-pro,0.0,varia,google-gemini-2.5-pro_input_varia_v2_0_20260811_151106,pending_pods,9.966666666666669,0.0,64.0,22.00305577134313,0.0
google-gemini-2.5-pro,0.0,varia,google-gemini-2.5-pro_input_varia_v2_0_20260811_151106,time_with_pending,0.2333333333333333,0.0,1.0,0.4265218680850983,0.0
google-gemini-2.5-pro,0.0,varia,google-gemini-2.5-pro_input_varia_v2_0_20260811_151106,wokloads_with_pending_pods,0.0201724076960326,0.0,0.1222222222222222,0.0405526268882039,0.0
google-gemini-2.5-pro,1.0,varia,google-gemini-2.5-pro_input_varia_v2_1_20260811_155300,cost,0.1718453333333333,0.17024,0.17248,0.0010178999096122,0.17248
google-gemini-2.5-pro,1.0,varia,google-gemini-2.5-pro_input_varia_v2_1_20260811_155300,cpu_usage,1.1152500000000003,0.202,1.819,0.5180582921523373,1.289
